с/т 69426|11.189 6723 ['сфæлынддзысты', 'дегустацимæ",', 'эстерсунды', 'постытӕ.', 'историимӕ"', 'раздæхтысты', 'сталинградаг,', 'ахастыл', 'бӕстыхӕйттӕн', 'хæстимæ']
с/с 20442|3.295 1837 ['сессимæ', 'æххæссы,', 'пассажиркæ', 'схуыссыныл', 'донбассы.', 'аххӕссыд', 'бахæсса', 'ссары,', 'профессионализм', 'ассортименты']
д/т 18827|3.034 1625 ['хæдтулгæ,', 'уырныдта', 'мӕдтӕ.', 'бадтыстæм",', 'æрбакодтон', 'кодтаиккой,', 'кодтам",', 'дзадтиаты', 'рафтыдтам', 'æрсидты']
н/д 18142|2.924 2892 ['иугонд', 'æмбардгонд', 'рахастгонд', 'ӕнцондӕр', 'ӕмбонд.', 'фæндæгты', 'бындæр,', 'кæмæнфæндыдæр.', 'эстерсунды', 'разындысты']
н/т 17071|2.751 2977 ['гарантитæй,', '"спортсментӕ', 'цыртдзæвæнтæм".', 'ӕнтыстджын,', 'ӕфсӕддонтӕм', 'здæхæнты.', 'къӕпхӕнтӕй,', 'ассортименты', 'регламент', 'доменти.цы']
р/т 14296|2.304 2409 ['дортикосыл.', 'саакянцхинвал—степанакерт:', 'промоутертæ', 'дезбарьертӕ.', 'фӕлтӕрты.', 'спортуарзджыты', 'картейӕ,', 'уавӕртӕй.', 'æртыккаг', 'æртын']
р/д 13837|2.23 2121 ['"ардӕм', 'хъӕдзарды', 'æрдæгсакъадахыл', 'къордӕй', '′рдæм.', 'царды;', 'æрмбырдуæвджытæ', 'ӕрӕмбырд', 'нысанӕвӕрд', 'æрцагуырд']
п/р 13472|2.171 1636 ['промоутертæ', 'процедуратæ",', 'продукттӕ,', 'проблемæмæ.', 'премьерæмæ",', 'протестгæнджытæ.', 'претензитӕ', 'пропусктæй', 'продюсерӕй', 'прагæйы.']
т/т 11953|1.926 2063 ['бынæттыл', 'фæзуæтты', 'бынӕттыл,', 'сывӕллӕттӕн', 'дæлдзырæттæй.', 'зонындзинӕттӕ', 'хъӕлӕсдӕттынады', 'уæздæттæ', 'штаттӕ.', 'рынчындæттæм']
с/п 9118|1.47 778 ['спектакльты', 'паспорттæй', 'спортуарзджыты', 'спартак,', '"спортсментӕ', 'спектаклтӕм', 'испайнаг-французаг', 'ӕнӕкӕсгӕйӕ.спикер:', 'паспорт,', 'спикермæ".']
р/ц 8400|1.354 537 ['æрцыдыстæ', 'æрцахсын.', 'бæрцæй,', '′рцыды', 'ӕрцӕуджытӕй', 'æрцæуой.', 'ӕрцӕуыс?', 'ӕнӕрцӕуинаг', '"горцы"-йы', 'æрцагуырд']
х/х 8360|1.347 759 ['хахх",—', '"аххосаг"', 'æххæссы,', 'аххæссынц.', 'зӕххыл,', 'оххыл.', 'ӕххӕстгӕнӕгӕджы', "'мзæххон,", 'зæххытыл', 'аххӕссыд']
